time,price,number
Jun 03 2014 01 0,135.731,7
Jun 04 2014 01 0,136.401,7
Jun 05 2014 01 0,134.771,9
Jun 06 2014 01 0,143.952,13
Jun 07 2014 01 0,141.589,7
Jun 08 2014 01 0,136.649,10
Jun 09 2014 01 0,137.529,6
Jun 10 2014 01 0,136.447,5
Jun 11 2014 01 0,138.401,11
Jun 12 2014 01 0,139.065,11
Jun 13 2014 01 0,142.453,14
Jun 14 2014 01 0,146.103,8
Jun 15 2014 01 0,144.006,11
Jun 16 2014 01 0,140.437,9
Jun 17 2014 01 0,145.477,7
Jun 18 2014 01 0,141.967,6
Jun 19 2014 01 0,140.889,12
Jun 20 2014 01 0,134.459,11
Jun 21 2014 01 0,133.173,15
Jun 22 2014 01 0,133.082,9
Jun 23 2014 01 0,134.32,8
Jun 24 2014 01 0,131.875,8
Jun 25 2014 01 0,133.665,11
Jun 26 2014 01 0,132.137,11
Jun 27 2014 01 0,136.604,6
Jun 28 2014 01 0,134.245,10
Jun 29 2014 01 0,129.376,9
Jun 30 2014 01 0,142.934,12
Jul 01 2014 01 0,142.197,7
Jul 02 2014 01 0,135.718,12
Jul 03 2014 01 0,136.477,13
Jul 04 2014 01 0,147.925,5
Jul 05 2014 01 0,131.804,8
Jul 06 2014 01 0,140.061,11
Jul 07 2014 01 0,137.565,9
Jul 08 2014 01 0,150.108,8
Jul 09 2014 01 0,144.262,13
Jul 10 2014 01 0,141.407,9
Jul 11 2014 01 0,139.062,10
Jul 12 2014 01 0,144.039,15
Jul 13 2014 01 0,149.249,10
Jul 14 2014 01 0,150.149,15
Jul 15 2014 01 0,152.338,11
Jul 16 2014 01 0,141.173,13
Jul 17 2014 01 0,145.714,7
Jul 18 2014 01 0,143.25,11
Jul 19 2014 01 0,135.407,5
Jul 20 2014 01 0,136.474,9
Jul 21 2014 01 0,139.938,9
Jul 22 2014 01 0,149.086,13
Jul 23 2014 01 0,146.471,3
Jul 24 2014 01 0,135.413,13
Jul 25 2014 01 0,139.392,16
Jul 26 2014 01 0,143.651,10
Jul 27 2014 01 0,150.552,8
Jul 28 2014 01 0,142.393,11
Jul 29 2014 01 0,151.19,14
Jul 30 2014 01 0,156.205,8
Jul 31 2014 01 0,136.557,13
Aug 01 2014 01 0,152.105,15
Aug 02 2014 01 0,158.33,13
Aug 03 2014 01 0,161.04,8
Aug 04 2014 01 0,150.089,15
Aug 05 2014 01 0,156.443,12
Aug 06 2014 01 0,155.976,10
Aug 07 2014 01 0,153.688,9
Aug 08 2014 01 0,155.511,13
Aug 09 2014 01 0,158.171,9
Aug 10 2014 01 0,148.609,7
Aug 11 2014 01 0,153.821,11
Aug 12 2014 01 0,153.282,10
Aug 13 2014 01 0,149.401,13
Aug 14 2014 01 0,154.613,12
Aug 15 2014 01 0,161.276,16
Aug 16 2014 01 0,158.159,15
Aug 17 2014 01 0,150.952,16
Aug 18 2014 01 0,157.895,13
Aug 19 2014 01 0,159.562,16
Aug 20 2014 01 0,155.381,11
Aug 21 2014 01 0,155.764,17
Aug 22 2014 01 0,163.647,12
Aug 23 2014 01 0,152.736,20
Aug 24 2014 01 0,157.205,13
Aug 25 2014 01 0,157.745,19
Aug 26 2014 01 0,160.692,14
Aug 27 2014 01 0,163.5,15
Aug 28 2014 01 0,161.879,12
Aug 29 2014 01 0,153.852,13
Aug 30 2014 01 0,165.304,9
Aug 31 2014 01 0,175.904,12
Sep 01 2014 01 0,173.209,14
Sep 02 2014 01 0,169.467,7
Sep 03 2014 01 0,169.847,9
Sep 04 2014 01 0,174.095,7
Sep 05 2014 01 0,169.327,9
Sep 06 2014 01 0,167.828,10
Sep 07 2014 01 0,159.872,16
Sep 08 2014 01 0,168.45,9
Sep 09 2014 01 0,165.889,7
Sep 10 2014 01 0,167.594,10
Sep 11 2014 01 0,165.998,12
Sep 12 2014 01 0,158.711,9
Sep 13 2014 01 0,167.032,10
Sep 14 2014 01 0,158.119,9
Sep 15 2014 01 0,157.611,18
Sep 16 2014 01 0,167.037,10
Sep 17 2014 01 0,162.175,12
Sep 18 2014 01 0,170.432,8
Sep 19 2014 01 0,171.253,10
Sep 20 2014 01 0,171.303,10
Sep 21 2014 01 0,175.127,11
Sep 22 2014 01 0,167.51,8
Sep 23 2014 01 0,150.634,5
Sep 24 2014 01 0,153.038,8
Sep 25 2014 01 0,162.03,9
Sep 26 2014 01 0,165.654,7
Sep 27 2014 01 0,164.08,6
